shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
101_shape_ida,-27.45446,-59.00974,1
101_shape_ida,-27.44622,-59.00063,2
101_shape_ida,-27.44709,-58.99969,3
101_shape_ida,-27.44560,-58.99800,4
101_shape_ida,-27.44728,-58.99609,5
101_shape_ida,-27.44498,-58.99353,6
101_shape_ida,-27.44885,-58.98917,7
101_shape_ida,-27.44964,-58.99001,8
101_shape_ida,-27.45268,-58.98655,9
101_shape_ida,-27.45197,-58.98567,10
101_shape_ida,-27.48314,-58.95051,11
101_shape_ida,-27.48304,-58.93619,12
101_shape_ida,-27.48925,-58.92928,13

101_shape_vuelta,-27.48925,-58.92928,1
101_shape_vuelta,-27.48706,-58.92672,2
101_shape_vuelta,-27.48607,-58.92734,3
101_shape_vuelta,-27.48430,-58.92540,4
101_shape_vuelta,-27.48275,-58.92712,5
101_shape_vuelta,-27.48680,-58.93172,6
101_shape_vuelta,-27.48280,-58.93620,7
101_shape_vuelta,-27.48287,-58.95060,8
101_shape_vuelta,-27.45187,-58.98557,9
101_shape_vuelta,-27.45114,-58.98475,10
101_shape_vuelta,-27.44957,-58.98650,11
101_shape_vuelta,-27.45032,-58.98734,12
101_shape_vuelta,-27.44566,-58.99259,13
101_shape_vuelta,-27.44490,-58.99175,14
101_shape_vuelta,-27.44396,-58.99277,15
101_shape_vuelta,-27.44632,-58.99543,16
101_shape_vuelta,-27.44396,-58.99810,17
101_shape_vuelta,-27.45446,-59.00974,18
